"id","textDisplay","authorDisplayName","publishedAt"
"Ugx8WyUs4xFo_rRE5bZ4AaABAg","I wish I could follow my childhood dreams 🥲","@HongkongerInNewZealand","2023-12-23T03:07:02Z"
"UgytSrCKuy6ssc8tfQV4AaABAg","From Usbekistan❤","@wokxe_edit","2023-12-22T16:18:41Z"
"UgwwO1n1rcqs00kCsT54AaABAg","I am Bangladesh ❤❤❤<br>But i do love you","@Tahsin00000","2023-12-21T14:08:49Z"
"Ugx2b2kU3W5GeUfNoS54AaABAg","Thanks for this work","@ahmedcom6653","2023-12-20T18:55:02Z"
"Ugzbmr8qYSS3BA28GEJ4AaABAg","Bangladesh,,,","@OmorOnfire11793","2023-12-19T07:51:15Z"
"UgxMt49C1tckqGB7HyZ4AaABAg","I really like Beth’s voice 😊","@Adi-ed5ly","2023-12-16T13:37:08Z"
"UgyO39OEMBKTw9QZCRJ4AaABAg","Thank you/","@tgchan","2023-12-16T13:25:03Z"
"UgyxX7rhIxaKXxlt1c94AaABAg","Hello everyone I am from Kashkadarya","@user-lt7rs8bo7c","2023-12-15T16:03:03Z"
"UgwiTg4w-91733kvnFd4AaABAg","This British or american accent ??","@user-mb9zj4fg9j","2023-12-14T10:38:21Z"
"UgyBTn_aXK79e5jD7YB4AaABAg","Im from Iraq I want to be a  TV PRESENTER😅","@user-gx2kj9hp5i","2023-12-14T07:23:10Z"
"UgxWhLVLMACzMgr2EVV4AaABAg","I am from africa","@BehruzRahimov-po9cn","2023-12-13T00:42:41Z"
"UgyzNboaN0-li7ldEjl4AaABAg","Thanks, GOD bless you.","@cedricadougba324","2023-12-11T08:00:11Z"
"UgzfZZv2BlviIGSP9IJ4AaABAg","From India 🇮🇳","@hemanegi3709","2023-12-10T04:28:36Z"
"UgznFg8LamIU1TsJbdp4AaABAg","Hy everyone I&#39;m from Dominican republic! 🇩🇴","@Alexyankee27","2023-12-07T12:50:51Z"
"UgzrarmwbEcR4UCc69p4AaABAg","I m from iraq/baghdad","@blackhawkblackhawk1570","2023-12-06T19:14:48Z"
"UgwIVfTVf2XyCpiXP4R4AaABAg","From Sri Lanka🇱🇰","@kaushalyalakshitha9682","2023-12-06T14:39:05Z"
"UgyLI9uz63UuWgVAuE14AaABAg","I have a lot of dreams yet I don&#39;t think I&#39;m following to them😢","@jasurbekqoshaqov9968","2023-12-06T13:34:06Z"
"UgzHfb5f20efTjMTM1d4AaABAg","Thank you very much Bbc ❤","@chawgdhjsm807","2023-12-06T10:48:25Z"
"UgwkofnMs3pusKeQ4gZ4AaABAg","Bu qanaqa American or British","@user-ce1jx5ef1d","2023-12-06T10:41:40Z"
"UgzJovbYePMV1ldOKa94AaABAg","I have a dream that i wanted to be rich because my family are very poor.When i was a boy,i try to learn for every lesson form my teacher and other people.I hoped, one day i must become a boss😂.but now in my country,there are a lot of battles, i fight for democracy and for life. Something i think where is my dream,i have lost the way. Nobody help me, nobody care me, i try for the best, now i am working in nursing school. I am a nurse but no income. 30 dollar is my salary 😂😂😂😂<br>So, you can ask me, are you following your dream?<br>I answer Yeah! I am a dog be like now.<br><br>Sorry for my bad English typing, I am trying to comment by using Google translate 😢","@khantkyawoo4828","2023-12-05T15:05:35Z"
